title,desc
Ang Kuya Kong Siga (1993),"Due to an accident, Johnny is forced by his adoptive parents to leave their province. He moves to Manila together with his younger brother Utoy. Johnny is hired to replace Boogey as the driver and bodyguard of Jessica. Rage and envy turned Boogey to Mon (Ramon Christopher) and started working against Jessica's family. Johnny must then find a way to protect the threat to Jessica's life."
Abel Morado: Ikaw Ang May Sala (1993),"Director: Maryo J. de los Reyes Writers: Jose Javier Reyes (story & screenplay), Jake Tordesillas (story & screenplay) Stars: Aga Muhlach, Ruffa Gutierrez, Ana RocesDirector: Maryo J. de los Reyes Writers: Jose Javier Reyes (story & screenplay), Jake Tordesillas (story & screenplay) Stars: Aga Muhlach, Ruffa Gutierrez, Ana Roces"
Maricris Sioson Japayuki (1993),The quest for truth about the plight of a Filipina entertainer who went to Japan for greener pastures and was brought back to Manila dead.
Makati Ave. Office Girls (1993),A story of a diverse group of female office workers who have vastly different professional goals but all share the same desire to be loved.
Kadenang Bulaklak (1993),"Jasmin, Violy, Baby and Daisy are sisters that were separated in their youth."
Manchichiritchit (1993),"A wacky and hilarious misadventures of a trio of swindlers who chance upon Isko, a man from the countryside who is planning to work overseas but duped on his money by the flirty Dorie together with his accomplices Elvis and Ricky. More trouble ensues when they took custody of Don Sebastian's grand daughters, Brenda and Donna when Don Sebastian was killed by his assailants whose life was saved earlier by the swindlers. Now they will run for their lives because the assailants goes after the wealth left behind by Don Sebastian to her granddaughters."
Abrakadabra (1994),"Allading with his sidekicks Baste and Jojit were hired to work for an antique shop owned by the Monteros. One day, Mr Montero brought a hundred year old antique jar from a wrecked ship. While Allading was making the wooden case, the jar was accidentally broken. Two genies were freed from the jar and soon created chaos around the shop blaming everything to Allading. - Written by ledster"
Once Upon A Time In Manila (1994),"Vic Sotto plays a barangay tanod who always seems to have a knack for saving the local folks from dangerous situations at the right moment. Cynthia Luster (Yukari Oshima) is Lt. Cynthia Wang, is a Royal Hong Kong Police on the look-out for Nikita, the infamous gang leader. Amparo Lagman (played by Gloria Sevilla), working as a domestic helper, becomes the unwitting target of the Nikita's gang when she comes into possession of some important documents. Nikita follows her to the Philippines, along with Lt. Cynthia Wang who is in pursuit of Nikita. - Written by ledster"
Binibini Ng Aking Panaginip (1994),"The romance starts with a million peso bet of a rich, handsome bachelor willing to pay his friends if he fails to win a girl within 2 weeks. The girl happens to be Ruffa who holds the key to soften the heart of the bachelor."
Walang Matigas na Pulis sa Matinik na Misis (1994),"Bong Revilla plays Capt. Bartolome “Bart” Renaldo, a tough and honest cop but is very afraid of his wife Gloria (Lani Mercado), who resigned from being a cop to be a plain housewife. And although he is a loyal husband, Bart’s ex-girlfriend Mildred (Plinky Recto) tries so hard to win her back. And now, Bart has a bigger problem with Gloria."
One and Only Star (1994),"Miggy is not an ordinary boy. He grows up as a learning, mentally challenged person. He becomes the center of his brother's life. A psychiatrist gives her time and attention to help Miggy. Together they face the odds and joys of bringing up Miggy in his different world."
Huling Lalaki sa Bitayan (1994),"Director: Cesar S.B. Abella Writers: Cesar S.B. Abella (story), Humilde ‘Meek’ Roxas (screenplay) Stars: John Regala, Jobelle Salvador, Lola Rodriguez, Vida Verde, Alicia Alonzo, Anita Linda, Raul Aragon, Dick Israel, Jose Romulo, Vic Varrion, Jesse Dee, Shanghai, Lovely Mansueto, Nonong De Andres, Edward Lina, Mark Tiongson, Billy Vina, Ramon Recto"
Pare Ko (1995),"A set of happy-go-lucky teenagers struggles to keep the group together as each of them faces various challenges on life, love, friendship, and family."
Alfredo Lim: Batas ng Maynila (1995),"A story based on the life story of Alfredo Lim, who rose from street cop to NBI Director and eventually Mayor of Manila. It speaks of his courageous and never-ending attempts to clean the city of crime and other significant problems."
Escape (1995),"Set during the terrifying reign of Filipino despot, Marcos, two upper caste but very different strangers team up to try and survive the physical and mental torture they undergo after they are suddenly jailed. Geny is the conservative businessman while Serge is more sensitive and outgoing. Both of the young men's parents give all of their money, but the government refuses to free them. Even a mutual hunger strike fails to move their jailers. In desperation, Geny and Serge begin plotting their escape."
Ultracop 2000 (1995),"In the distant year of 2000,two (count them) alien dudes from Mars ""arouse panic"" on the futuristic streets of Manila. Meanwhile a team of futuristic cops (they got headsets) try to bust Drago the drogbaron (a cameo by Melvin Wong). And on the other end of the town a comical gay geezer infected with AIDS try to commit suicide. Somehow these three subplots merge and the laughs begin."
Basta't Kasama Kita (1995),"While escaping her royal confinement, a European princess comes across and falls in love with a jeepney driver. However, things begin to change when her real identity gets revealed."
Sarah... Ang Munting Prinsesa (1995),"Sarah Crewe is the only daughter of the wealthy Capt. Crewe. They are based in India. However, Sarah is sent by her father to a boarding school in England. He gives her a doll named Emily and a young horse. Because of Sarah’s charm and innate kindness, she instantly earns popularity in school. She is also an excellent student and a good friend to everyone, including Becky, a maid. However on Sarah's birthday, she learns that her father gets killed in the war. Suddenly, Miss Minchin’s fondness to her turns into meanness. She takes all of Sarah’s possession and throws her out of her room to join Becky in the attic. From being a princess, Sarah turns into a maid. Despite the tragedy that happens to her Sarah, maintains her good girl disposition and keeps her positive outlook in life. But will someone save her from her miseries?"
Batang-X (1995),Batang X is a 1995 Filipino film released under Regal Films. The film is about 5 children with superhuman abilities who get kidnapped by the alien Dr. Axis to help her steal sources of energy for her spaceship.
Patayin sa Sindak si Barbara (1995),Barbara loves her little sister Ruth deeply. When Ruth becomes devilishly manipulative by threatening to kill herself if her sister doesn't break up with her boyfriend Nick . The sisters end up engaging in black magic to get back at each other.
Ang Titser Kong Pogi (1995),"Joey Perez, a policeman goes to Subic as a Kindergarten teacher to secretly investigate the case where he was framed up. He becomes attached to Cynthia, a co-teacher and Jimbo, his student—both relatives of his suspect. Joey has to protect himself and the children to prove his innocence once and for all."
Boy! Gising! (1995),"Vandolph plays big city streetwise kid who shacks up with a bunch of other kids like him in a makeshift home, hull of a bus, where Totoy (Babalu) lords over them as a surrogate date. Together they do their shenanigans that almost always end up in the craziest of misadventures. Until a band of underworld gangsters discover Boy's potential in one of their rackets - as a boy sumo wrestler. The kid obliges. The adventure heightens as Boy, Totoy and their cohorts go up against the bad guys in the wackiest chase ever!"
Dahas (1995),"Luisa is raped by an unknown assailant a few nights before she is wed to Jake. When Jake discovers Luisa's prenuptial chastity is in question on their first night, violent events unfold. Poor Luisa is a battered victim and reacts chillingly. Tit for tat. Fire against fire. Dreams become nightmares, love turns to rage."
Batang Z (1996),A Filipino kids movie directed Bey Vito
"Ama, Ina, Anak (1996)","A married couple decides to adopt a baby girl and raise her as their own, but internal family problems arise when the two are blessed with a biological child."
Milyonaryong Mini (1996),A case of mistaken identity which shows the Philippines' social classes between the rich and the poor. A sitcom remake was aired ten years later in 2006.
In My Own Hands (1996),"A serial killer preying on unfaithful wives sets his eyes on an investigator's wife.The culprit is a debonair director, whose compulsion to prey on married women stems from a deep psychological trauma."
Istokwa (1996),Two teenage boys escape from their mothers and embark a journey that turns into a misadventure leading to self-discovery about themselves.
Wanted: Perfect Mother (1996),"A 30-year-old widower realizes that his three children need a mother figure. His youngest daughter feels lonely and finds it hard to cope with schooling. He scouts around for a tutor for his daughter, someone who could also act as her playmate and friend. The lady who arrives -- a cheerful singer and tutor -- brings light to their home lives."
Cedie (1996),"An Earl disowns his son James for marrying Annie, a middle-class woman. The couple leaves England to start a life in New York with their son newborn child Cedie."
Bayarang Puso (1996),"Jose Javier Reyes' dramatic thunderbolt from Regal Films, ""Bayarang Puso"" which stars Aga Muhlach, Lorna Tolentino, and Carmina Villaroel is a movie about decadence and materialism set against a backdrop of the most recent leisure class craze, ballroom dancing. Although the film makes obviously wild pirouettes around this very interesting subject-dance instructors and their willing and able clientele and whatever relationships they have in between- it is in fact an intriguing drama about love, avarice, and betrayal."
Do Re Mi (1996),"Three girls divided by personalities, cultural backgrounds and principles have one thing in common, their love for music."
Ikaw Naman ang Iiyak (1996),"Elaine killed her stepfather while trying to defend her boyfriend Santi. After serving in prison for years, she is now out to fight and try to bring back her life, including Santi who already married another woman."
Ang TV Movie: The Adarna Adventure (1996),"A fantasy story about a group of kids who are fond of listening to fairy tales, their favorite being ""Ang Ibong Adarna"", which they are able to live when they are mysteriously transported to the magic bird's home, the enchanting world of Berbanya. There they meet Prinsipe Juan and help him with his mission to save the land and cure his father, the King. This can only be accomplished if they can get hold of the magical and elusive bird, the Ibong Adarna, who is actually a princess under a curse."
Masamang Damo (1996),"When Joko Diaz placed his family in danger after getting into an imbroglio with fellow slum boys, he wisely contrived a plan."
Home Along da Riles 2 (1997),"Kevin (Dolphy) and his family suddenly find themselves prospective millionaires. What happens when they move into a bigger house and leave their real ""home along da riles""?"
"Papunta Ka Pa Lang, Pabalik Na Ako (1997)","This star-studded movie explicits the popular Filipino saying, """"Papunta ka pa lang, pabalik na ako"""". Eddie Garcia, Joko Diaz, Gloria Diaz, Jennifer Sevilla and Glydel Mercado complete the cast of this 1997 movie."
Wala Nang Iibigin Pang Iba (1997),"Sarah, an archaeologist and museum curator, is good at recovering and restoring treasures. One day, a very important treasure map is stolen from the museum, but the map is in Latin and the guys who seized it cannot read it."
Iskalawag: Ang Batas Ay Batas (1997),An Filipino action police film directed by Francis Posadas .
Computer Kombat (1997),"In the human world, Pen (SPENCER REYES) and Dong are best friends who are fond of playing computer games. on the other hand, at the computer world where the different computer characters live, there is one character in the name of M. Tyson (REZ CORTEZ) who was mad and envy to human."
Hari Ng Yabang (1997),"Driven with ambition and handsome looks, Edelbert is very optimistic to marry a rich girl. He pursues other women in their province, not minding his neighbor Elena who is in love with him but is not rich. One day, Elena accidentally overhears Adelbert that she is not the girl for him because of her status. Hurt, Elena leaves town. Soon after, Edelbert realizes Elena is important to him and started looking for her."
Lahar: Paraisong Abo (1997),"In the aftermath of the eruption of Mount Pinatubo, a volcano dormant for more than 400 years, the residents of the whole town of San Simon in Pampanga was engulfed by dust and thick mudflow called lahar. The whole surviving residents of the devastated community are relocated to transitional evacuation center, a tent city, where different and unique personalities meet: Sheila, a migrant worker from Germany who is struggling to keep her family intact at all costs; Sonia who is looking for her missing husband while pretending as a handicapped so she can beg on the streets; Ditas, who returns in Pampanga after getting pregnant in Manila; and Elena, a mother who lost her whole family in the eruption, yet she keeps a positive outlook in life that as long as she remembers her relatives no amount of tragedy could keep her from reminiscing of their once peaceful lives."
Martial Law (1997),"""Batas Militar"" is a definitive documentary about martial law under the dictatorship of former President Ferdinand Marcos in the Philippines."
Kokey (1997),"On their way home, Bong and Anna discover Kokey, an extraterrestrial whose space ship explodes upon landing on earth. Without the knowledge of their parents, the children keep Kokey at home. The three soon become the best of friends with Kokey turning out to be a big help to the family and their business, attracting customers using his extraterrestrial powers. But Kokey becomes homesick, pointing to the sky in silent tears, missing his parents. He tries to contact them but with no success. Will he ever be reunited to his family? How long can the children keep Kokey a secret?"
Mama Dito sa Aking Puso (1997),This is an adaptation of the Palanca award-winning play written by Maria Angela Barrios about a mother and her Amerasian daughter.
"Honey, Nasa Langit na ba Ako? (1998)","True love happens between Noel and Marian, only to have calamity strike at the most inopportune moment. When the bride to be dies in a car accident going the rehearsal, Noel is heart broken. Not expecting such misfortune, what will he do? All along, his co-worker Winnie has strong feelings for him. Will she be able to mend Noel's broken heart, or can Marian help turn misfortune in to bliss as a ghost. Will Noel ever find true love?"
Tornado Jack (1998),"A martial artist finds himself transported to another world where he must battle monsters, evil wizards, zombies, and other threats. Can he save everyone and get back to Earth?"
Tong Tatlong Tatay Kong Pakitong Kitong (1998),"Orphan Jingle can't seem to find a home for herself. Hopeless with the situation, she is sent to Manila to live with three bachelors who are still awaiting their big break. When the trio accidentally pick up a bag of jewels that belong to a crime syndicate, Jingle's life is put in danger in exchange of the jewels. - Written by ledster"
"Curacha, Ang Babaeng Walang Pahinga (1998)","A story about a torera (a live sex performer) who finds herself trapped in an anomalous game of association between sex, life and death, and its political equivalent of sleaze, subservicence and power in drug-addled world. Every night, she sets off to join her fellow toreras for a midnight show of fun and kitschy live sex act. In one tuning point of her life, she bumps into a long-lost friend, Myrna, a former torera, who seems to have a lost grip on life. Curacha makes it her personal mission to save Myrna as she does some sou-searching herself. In the end, we see traces of hope glimmering somewhere, somehow, in a manner that escapes the restless Curacha."
Dahil Mahal na Mahal Kita (1998),"A straight-laced student and the campus bad girl shock the people around them with news that they are dating. But when misunderstandings and arguments come their way, they realize that it takes more than physical attraction to achieve lasting love."
Labs Kita...Okey Ka Lang? (1998),"Bujoy and Ned are childhood best friends. They stick with each other like a family. However, as time goes by Bujoy fell in love with Ned, who she thinks is the only person who accepts her imperfections that even her own family does not accept. Bujoy’s hobby which is clay sculpture is all dedicated for Ned. Ned, on the other hand finds inspiration in songwriting, to which he dedicates to the girl of his dreams, Marry Anne. Ned inherited his passion for music from his father Canor, who is a frustrated musician. However his mother Cora thinks that music will not help with their financial constraints. As Ned and Marry Anne became a couple, Bujoy started going out with Cenon, the newest member of Ned’s band."
Hiling (1998),"Anna is an ordinary girl who receives an extraordinary birthday gift from a mysterious old woman. Anna discovered that she has given the power to grant any kind of wishes through touching. However, Anna could not do anything to grant her own wishes. She made Trinket’s family rich, who used to get ridiculed by the neighbourhood because of their debts. She also touches a gay who desires to become a real woman. She also touched her hopeless romantic friend Elwood who eventually became the chick magnet of their neighbourhood. She also helped a morose middle-aged woman grow plants that would eventually choke anyone who came across the old lady’s house. She also granted the children’s wish to have a swimming pool on a vacant lot that would cause trouble to the whole people in their community; and a lot, lot more wishes. Anna granted all of her neighbour’s wishes and even the most impossible ones."
Still Lives (1999),"An intriguing look into a world of drugs and crime, dynamically moves through the lives of the different characters – the drug lord Enteng, his minions, the police, and customers."
My Pledge of Love (1999),"Spunky and adventurous, Raida, heads off to Manila for two reasons: to visit her godmother, and to meet with Ariel, her pen pal. But strange things happen on her way to the big city."
Wansapanataym: The Movie (1999),"The story is about an orphan named Anna who searched for her long-lost father. With the guardian angel Barbiel's help, Anna was able to see the latter's father even for a moment."
Dahil May Isang Ikaw (1999),"Two opposing characters. Two contrasting background. One love story written in the stars. When Andrew's car collides with Anya's truck, his relatively peaceful life is destined to change forever. For Anya is not like any other girl. Downright frank and opinionated, Anya knows when not to give up. Despite their initial antagonism, Andrew discovers that beneath Anya's tenacious front is a sweet, spirited woman who knows how to enjoy life. And through Anya, Andrew begins to shed off his rigid stance. But before romance could bloom between them, Andrew is set to marry someone else..."
Isusumbong Kita sa Tatay Ko (1999),"Badong (FPJ) is an auto repair shop owner and a doting father to Joey (Judy Ann Santos), his pretty but tomboyish daugther. The protective father that he is, Badong disheartens every young man who tries to woo Joey.The real test in their father-daugther relationship comes when Badong meets and falls in love with a beautiful doctor. Thinking that she is losing her father's love to another woman, Joey agrees to go out with her boastful suitor to spite Badong."
Jumping Over Thorns (1999),"Luksong Tinik shows how Beth Pineda, a loving single mother involved in illegal activities as courier for a fake passport syndicate, is dragged into a media frenzy. She gets caught between the truth, too much deadly information and the manipulative media. Like the game of luksong tinik (jumping over thorns), her situation becomes more dangerous as the leaps get higher."
"Mister Mo, Lover Ko (1999)","A film about sexual frustrations, middle-aged problems, workplace tensions, and other challenges that beset married and unmarried couples."
Hey Babe! (1999),"Every Friday, Abigail religiously consults Madame Lola, a fortune teller. The old shrewd lady takes advantage of Abigail’s extreme grip on superstition by giving her signs about the perfect man for her. Nelson also takes advantage on the situation and paid Madame Lola to give Abigail signs that would make her believe that he is the one for her. Eventually through Nelson’s perseverance, and Madame Lola’s bogus prediction, Abigail started to believe that Nelson is her Mr. Right. But there is no secret that remains uncover."
Dito Sa Puso Ko (1999),"Ligaya Tatlonghari is a movie fan in every sense of the word she eats and breathes showbiz. She has two foremost dreams: to travel to the United States, and to join her favorite TV game show. The former is rather far-fetched but the latter is just within reach, only Ligaya is too cerebrally-challenged to even pass auditions. But she's far from giving up she forces Paul, her brainy neighbor, to be her contest partner. With Paul's smarts, he and Ligaya win the show's grand prize: a trip for two to the United States."
Weder-weder lang 'yan (1999),"Arrogant Don Emilio is a rich man who have maids, a private nurse Nikki, and later a sexy, personal secretary Susie at his disposal. He has two brothers, Dodong and Egay who have sinister thoughts on him, as they want his riches. After some slapstick mishaps and when the Don seemingly went bankrupt, he left his mansion to live with the two but experiences unfair treatment. He ended up living with his stepbrother Edwin in the slum, but his arrogance and his annoying cohorts resulted to differences with Edwin and his girlfriend Girlie. Unbeknown to them, Don Emilio is actually playing a scheme of his own to determine which brother really cares for him the most."
Anak (2000),A woman returns to the Philippines after working abroad to find that her family has fallen apart in her absence.
Ipinanganak Na Ang Taong Papatay Sa Iyo (2000),A 2000 action film from the Philippines.
Tanging Yaman (2000),"Three siblings Danny, Art and Grace are now well settled with their respective families, in widely contrasting lifestyles. The one common thing that binds them loosely together is the love that their mother Dolores ""Loleng"" Rosales holds for all of them and her grandchildren, albeit expressed in varying ways and degrees, but always equally nurturing and self-giving. Much as they are held together by her, they are in turn separated by physical distance and the sad legacy left behind by their deceased, erstwhile strong-willed, patriarchal father."
Shadows (2000),"In Manila, a solitary man from a far-away province lives in poverty. The only thing he has is a camera, and he stays at churches hoping people will hire him to take their photographs. During one day, he has three encounters that change his life: the first, with a smooth-talking young man who's standing by the church door who berates him for wasting his life in church, the second with a boy who offers to take his picture, and the third with a Mercedes-driving man who's been stuck in traffic and has no patience left. Is there any deliverance from the soullessness of the city?"
Kahit Isang Saglit (2000),"College buddies Dexter, Annie, and Michael decided to form an architecture firm after college. When everything is going fine between Annie and Michael, Dexter accidentally fell into the construction site and was put into a comma. Michael supported Annie and became Anna’s crying shoulder. As they continue to go on with their architectural project, Annie never misses to visit her boyfriend, who can hear all of her stories. Annie is hopeful that she would soon wake up. But she also began to see Michael’s admirable traits."
Abandonada (2000),"After finishing prison sentence in Canada and came back to the Philippines, Gemma wants to recover her son after she was abandoned by her husband, Edwin. To do so, she worked as a nanny and was hired by Cindy, new wife of her husband. Being closer to her son in this household, she plans to escape with her son."
Spirit Warriors (2000),"In this eerie thriller from the Philippines, a group of high schoolers finds themselves contending with more than the usual teen angst issues. It seems they've run afoul of Ulanaya, a menacing, shape-shifting ghost bent on creating terror and pandemonium throughout the land. Can these adolescent, amateur ghost hunters summon the mettle to square off against -- and vanquish -- such a formidable otherworldly nemesis?"
Sugatang Puso (2000),"A divorced man who marries a widowed wife. De Leon's previous wife suddenly develops problems, and De Leon is forced to bring his son back home to live with him, his wife and her own son."
Bala Ko... Bahala Sa 'yo (2001),"Jeric Raval is Dias Del Fuego. An anti-organized crime cop who does the beat with a dark side of the law demeanor. The kind that loves to fight fire with fire and that which keeps the violent underworld under check. After being meted an indefinite suspension by their cop chief together with bungling rookie, Flavio (Dinky Doo, Jr.) after a botched hostage rescue, the two stage extra-legal means to pursue the town's top dollar racketing kingpins played by Kier Legaspi and Patrick Dela Rosa. Things get complicated as the underworld puts up heavy resistance. The wrench gets thrown in on Jeric's mean crimefighting machine when his ex-lover (Via Veloso) connives with the mob. As the going gets tougher, Dias Del Fuego gets down dirty and begins to reserve a special place in hell for the opposition."
Tusong Twosome (2001),A comedy movie starred by Andrew E. and Janno Gibbs.
"Ooops, Just Wait… This’ My Discrete! (2001)","Dario is a disgruntled ex-cop who gets discharged from his job two years ago when he obeys the order of his superior, Superintendent Villa to take the syndicate master, Johnny Estrella to a safe-house instead on the police station. Superintendent Villa is under orders of Johnny. The crook escapes. Now Dario lives as an informal security man in a bar he frequented during his officer days. Marian is a young novice who is taking month long break from the convent. She finds out that her older sister Mabel has been taken by the people of Johnny and Sonny Estrella powerful leaders of a syndicate operating illegal drug business and white slavery in Alupihan Island."
Narinig Mo Na Ba Ang L8est? (2001),"Popoy is a handsome and eligible bachelor, but instead of the usual macho activities a guy of this day and age would indulge in, Popoy is more interested in culinary pursuits and better-living breakthroughs. He dresses himself neatly, he sweats perfume, he respects the female species in a way that he refuses to see them as sex objects, and he lives with his grandmother. People around him deem him gay. Gina, on the other hand, looks like the typical bimbo, whose appeal lies mainly on the bulk between her shoulders and waist. Her reputation among men precedes anything she may have to prove about herself. Both knew that the other exists, but not worth pursuing amid piles of work and not to mention their unfavorable first impressions of each other."
Baliktaran: Si Ace at si Daisy (2001),"This is about a man and a woman who are forced to marry each other except, their sexual identity causes them trouble because the man is gay and the woman is a lesbian. They struggle throughout their marriage until the end."
Alas-dose (2001),"After a drug lord is apprehended by the police, a syndicate does everything in its power to get him out of jail, since he has money that should be divided among the members, so a general's grandson is kidnapped to facilitate his release."
Red Diaries (2001),The first episode deals about the story of a mistress who is engaged in an extra-curricular activity with her lover's driver. The second story deals about an illicit relationship of a balik-bayan with a seminarian. The third and the most controversial is about the martyr wife of an abusive police officer who allowed his colleagues to molest his wife.
Bakit 'Di Totohanin (2001),"Martin convinces Andres’ mother to bet his boxing gym. Andres’ drunkard mother loses the bet and surrenders the gym; the only way for their family to recover it is for Andres’ only son to win over a boxing bout against Martin’s son. Thus, she opens up a new deal with Martin. She will have a boxing fight against Martin’s son. She prefers to keep it a secret to her father, who she is certain, would not approve the unlikely bargain."
Trip (2001),"While on vacation, a group of young friends learns about betrayal, true love, loyalty, and the true meaning of friendship."
Bahay ni Lola (2001),"A vacationing family heads to their remote ancestral home to celebrate Christmas, but when they begin to quarrel among themselves, opportunistic demons seize the chance to infiltrate the clan. It's up to the guardian spirit of the family's brave grandmother to save her grandkids from the terrorizing sinister forces."
Yamashita: The Tiger's Treasure (2001),"In World War II veteran Lolo Melo enjoys regaling his grandson Jobert with war stories, one of which includes Lolo's participation in burying the famed Yamashita treasure. When Jobert heads to Manila to unearth the cache, little does he know that he has competition: A shadowy G-man and a soldier of fortune are also in pursuit of the loot."
Magkapatid (2002),"Lisa (Santos) and Cita (Cuneta) have a kinship as sisters, but their bond goes far beyond blood. The close-knit two are also best friends -- until a tragic misfortune strikes and the sisters' support system unravels."
Jologs (2002),Jologs portrays the intersecting stories of various working-class people who are all tied to one coffee shop and are struggling to make ends meet in the Philippines.
Bahid (2002),"As a ramp and commercial model and a swinging teenager in this movie of sex,wealth and power, Assunta de Rossi as Erika is a sexy appealing face on billboards and on the catwalk but,at home, with her sister Loida, she shares a dark secret with her surrogate father,Mr. Lorenzo Lavares, who is wed to her sister. The house of Lavares features a strange quartet father and son married to the sisters with warped emotions and shocking happenings."
Mano Po (2002),"During the Chinese Revolution in 1949, young Chinese copra trader named Fong-Huan marries Elisa, a young and pretty Filipina. The couples children, Daniel and Linda, were raised in a mixture of Chinese and Filipino-Hispanic tradition. These richly cultured people are the ancestors of a dysfunctional third-generation family whose daughters tell their own stories of joy, struggle, and the complex realities in the life of Filipino Chinese families."
The 70s (2002),"Amanda and Julian are doing their best to rear their five sons during the repressive dictatorship of Ferdinand Marcos. Though the parents view themselves as apolitical, most of their sons bristle at life under martial law and turn to various forms of activism -- or to simple teenage rebellion -- for release. After the family becomes the victim of extremist violence, Amanda begins to find her own dissident voice."
Spirit Warriors: The Shortcut (2003),"Starting from where they last left off, the Spirit Warriors stumble upon a black hole to the Netherworld in their search for an ancient mystical and powerful amulet. Now that they've found a way in, there comes the problem of how to get back - especially as the Netherworld's dark denizens spring into action to give the Spirit Warriors a taste of their gruesome never-land hospitality."
Imelda (2003),"A ""beyond the shoes"" documentary on the former first lady of the Philippines, Imelda Marcos."
Mano Po 2: My Home (2003),"Antonio Chan, a prominent Chinese businessman, has three women in his life Sol, a Filipina; Lu Shui, a Chinese; and Belinda, a Filipino-Chinese. Antonio has children with all three women. A crisis shakes up the over-extended Tsinoy family prompting all the members to re-examine their values, their relationships, and confront issues that they have refused to face all these years."
Milan (2004),"Loving husband Lino is on a mission: his wife, who works as a domestic in Milan, is missing and he's determined to find her. To do so, he enters Italy illegally and takes cover as one of the hundreds of Filipino migrant workers who make their way to Europe."
Otso Otso Pamela-mela Wan (2004),"Misunderstood by their families, buddies Boy and Andoy run away to start a new life and end up switching places with a pair of look-alikes. Just as the two pals make their getaway, twins Mao and Dao flee their city to escape arranged marriages. A mix-up results in Boy and Andoy impersonating Mao and Dao and vice versa, and it's sheer chaos when one set decides to return home."
I Will Survive (2004),"Four disparate friends one a homosexual strive to be wonderful spouses and parents, yet despite good intentions, they all struggle with personal dramas. While Cynthia and her husband are no longer intimate, Mylene has learned her spouse is sleeping around. In the meantime, Louise fears her daughter isn't pretty enough, and gay foster father Mandy must come out of the closet."
Sabel (2004),"After enduring a troubled childhood, a woman struggles to find herself in this provocative tale about life's vagaries and ultimate redemption. The film follows the emotional journey of Sabel, a complex woman portrayed as both bad and good, who permanently alters the lives of those in her orbit and who is eventually charged with murder."
Volta (2004),"Legend has it that once every 100 years a superhero with the powers of lightning shows up to save mankind from the forces of evil. It is believed that if a person gets hit thrice by lightning and lives to survive another day, he shall be the chosen one. Perla is a dressmaker who lives and works for her siblings, Percy and Penny. After being hit by lightning thrice, Perla discovers that she has developed superpowers: she can generate heat and electricity with her hands, and lightning flashes come out of her hands. With these superpowers, she becomes famous as the superhero, VOLTA."
The Echo (2004),"After moving into his new digs a ratty apartment in a decrepit building Marvin senses that something is amiss. Every night, domestic violence occurs at the home of his neighbors: an alcoholic cop, his wife, Anna, and their daughter, Lara. When bloody apparitions of Anna and Lara flash before Marvin's eyes, he begins to question his sanity in this atmospheric horror film."
Mano Po III: My Love (2004),"Anti-crime crusader Lilia Chiong Yang seems to have everything a woman could want and need: a husband who pampers her; children whom any parent would be proud of; and the respect & admiration of the most powerful people in the land. But just as Lilia prepares for her 25th wedding anniversary celebration, a chance encounter in Thailand with her first love Michael throws Lilia's life into chaos. So begins the resumption of a relationship that threatens to unravel the delicate threads connecting Lilia to the other people in her life. - Written by regalfilms"
So... Happy Together (2004),"Talkative Lianne and colorful gay Osmond become fast friends when they meet at the first Gay Pride Parade in Malate in the early 80's. For the next thirty-plus years of their lives, they'll do everything together, whether it's eating, shopping, discussing life and even looking for the perfect man! So inseparable are their pair that even their mothers become best friends too."
Let the Love Begin (2005),"Their paths always cross but they never seem to meet. Eric is a very smart young man. Though he doesn't have the financial capabilities, he is strong-willed to succeed. He even takes a job as the school's janitor to work his way through night school. He finds inspiration in Pia, the most beautiful and wealthiest girl in their school. But all Eric could do is become Pia's ""savior."" When will Pia realize that Eric is more than her knight in shining armor? Maybe only them can they let the love begin."
North Diversion Road (2005),"Comprised of ten conversations between a man and a woman on the theme of infidelity, the film essays the topic by interrogating its effect on a relationship after-the-fact."
The Son of Brocka (2005),"It is about a group of investigative journalists from a sub-par TV station who accidentally scores a scoop that a 21-year-old boy is looking around for his identity… he claims to be the son of the late director Lino Brocka, a known gay filmmaker."
Aishite Imasu 1941: Mahal Kita (2005),"Inya, a heroine of the Philippine resistance against the Japanese during World War II, recalls events involving her husband Edilberto and their childhood friend Ignacio, a transvestite who, masquerading as a woman also named Inya, becomes the lover of the local Japanese commander, Ichiru, and is caught between a duty to be a spy for his country and friends and his reluctant but growing love for Ichiru."
Mano Po 4: Ako Legal Wife (2005),"When Chona Chong (Zsa Zsa Padilla) learns that her wealthy husband Elton (Jay Manalo) is having an affair with two younger women (Cherry Pie Picache and Rufa Mae Quinto) -- and has even fathered a child with one of them -- her once-perfect life lies in ruins. Numbing the pain with Botox, liposuction and breast implants works well enough, at first. But then her only son (John Prats) drops another bomb: He thinks he might be gay."
Mulawin: The Movie (2005),"After resolving to live peaceful lives as mortals, enchanted warriors Aguiluz and Alwina are caught in a violent storm and washed away to separate shores, where they struggle to survive without their memories. Meanwhile, the fire maiden Pirena resurrects Ravenum to wreak havoc on the Mulawin race."
